relation,accuracy,precision,recall,f1-score,TP,FN,TN,FP
0,84.08,90.05,75.23,81.98,498,164,659,55
1,79.22,80.36,80.54,80.45,360,87,307,88
2,95.48,95.49,95.39,95.44,3581,173,3648,169
3,96.71,95.74,97.81,96.77,3126,70,3012,139
4,82.76,84.62,78.57,81.48,198,54,234,36
5,50.0,50.0,50.0,50.0,0,1,1,1
6,100.0,100.0,100.0,100.0,1,0,0,0
7,28.57,50.0,40.0,44.44,2,3,0,2
8,77.13,79.01,75.74,77.34,128,41,125,34
9,69.86,69.7,65.71,67.65,23,12,28,10
10,61.76,70.59,60.0,64.86,12,8,9,5
11,57.14,50.0,33.33,40.0,1,2,3,1
12,92.31,100.0,85.71,92.31,6,1,6,0
13,85.56,82.81,91.2,86.81,477,46,382,99
14,68.75,80.0,50.0,61.54,4,4,7,1
15,100.0,100.0,100.0,100.0,0,0,1,0
16,83.87,80.0,94.12,86.49,16,1,10,4
17,42.86,100.0,20.0,33.33,0,4,2,0
18,52.98,35.0,10.77,16.47,7,58,73,13
19,85.71,83.33,100.0,90.91,5,0,1,1
20,70.59,100.0,23.08,37.5,3,10,21,0
21,66.67,66.67,100.0,80.0,2,0,0,1
22,64.04,61.54,81.36,70.07,48,11,25,30
23,72.73,72.0,90.0,80.0,18,2,6,7
24,71.43,100.0,33.33,50.0,1,2,4,0
25,57.14,100.0,25.0,40.0,1,3,3,0
26,100.0,100.0,100.0,100.0,0,0,1,0
27,91.94,89.66,92.86,91.23,26,2,31,3
28,100.0,100.0,100.0,100.0,0,0,0,0
29,68.18,71.43,60.61,65.57,20,13,25,8
30,66.67,100.0,50.0,66.67,0,1,1,0
31,60.0,50.0,25.0,33.33,1,3,5,1
32,40.0,40.0,100.0,57.14,2,0,0,3
33,54.55,100.0,16.67,28.57,0,5,5,0
34,100.0,100.0,100.0,100.0,0,0,1,0
35,95.83,91.67,100.0,95.65,11,0,12,1
36,44.44,50.0,60.0,54.55,3,2,1,3
