relation,accuracy,precision,recall,f1-score,TP,FN,TN,FP
0,84.01,85.53,80.36,82.87,532,130,624,90
1,81.71,75.93,95.97,84.78,429,18,259,136
2,96.06,96.93,95.07,95.99,3569,185,3704,113
3,98.09,99.11,97.09,98.09,3103,93,3123,28
4,85.82,84.23,86.9,85.55,219,33,229,41
5,50.0,50.0,50.0,50.0,0,1,1,1
6,100.0,100.0,100.0,100.0,1,0,0,0
7,71.43,71.43,100.0,83.33,5,0,0,2
8,81.1,83.23,79.29,81.21,134,35,132,27
9,76.71,82.14,65.71,73.02,23,12,33,5
10,58.82,62.5,75.0,68.18,15,5,5,9
11,85.71,100.0,66.67,80.0,2,1,4,0
12,76.92,75.0,85.71,80.0,6,1,4,2
13,85.26,84.4,87.95,86.14,460,63,396,85
14,62.5,62.5,62.5,62.5,5,3,5,3
15,100.0,100.0,100.0,100.0,0,0,1,0
16,93.55,94.12,94.12,94.12,16,1,13,1
17,42.86,100.0,20.0,33.33,0,4,2,0
18,55.63,43.75,10.77,17.28,7,58,77,9
19,57.14,100.0,40.0,57.14,2,3,2,0
20,67.65,55.0,84.62,66.67,11,2,12,9
21,50.0,100.0,33.33,50.0,0,2,1,0
22,73.68,80.85,64.41,71.7,38,21,46,9
23,75.76,80.0,80.0,80.0,16,4,9,4
24,100.0,100.0,100.0,100.0,3,0,4,0
25,57.14,100.0,25.0,40.0,1,3,3,0
26,100.0,100.0,100.0,100.0,0,0,1,0
27,91.94,96.0,85.71,90.57,24,4,33,1
28,100.0,100.0,100.0,100.0,0,0,0,0
29,72.73,68.29,84.85,75.68,28,5,20,13
30,66.67,100.0,50.0,66.67,0,1,1,0
31,70.0,66.67,50.0,57.14,2,2,5,1
32,40.0,33.33,50.0,40.0,1,1,1,2
33,54.55,100.0,16.67,28.57,0,5,5,0
34,100.0,100.0,100.0,100.0,0,0,1,0
35,91.67,84.62,100.0,91.67,11,0,11,2
36,50.0,100.0,16.67,28.57,0,5,4,0
